PlayTimeHours,TotalWins,TotalLosses,AchievementsUnlocked,LevelUps,FriendsConnected,YearsActive,TotalPlayTimeHours,TotalAchievements,SpecialEventsParticipated,TotalLevelsCompleted,TotalItemsCollected,TotalFriendsMade,HasPremiumAccount,IsMultiplayer,TotalSessionsPlayed,TotalStrategiesUsed,TotalGameModesPlayed,InGamePurchasesAmount,HasChangedUsername
203.0,121.0,10.0,57.0,41.0,170.0,19.0,6850.0,3150.0,328.0,1782.0,1176.0,1368.0,False,Yes,842.0,187.0,35.0,1044.3480555269464,UsernameModificationLog
215.0,91.0,7.0,67.0,28.0,44.0,2.0,789.0,433.0,66.0,202.0,169.0,81.0,True,No,529.0,102.0,38.0,115.75225381927093,UsernameChangeHistory
75.0,55.0,10.0,19.0,15.0,18.0,13.0,2492.0,1309.0,205.0,596.0,645.0,371.0,True,No,234.0,28.0,38.0,206.6491189271415,UsernameChangeHistory
87.0,28.0,8.0,27.0,5.0,86.0,19.0,8694.0,3922.0,528.0,2324.0,1635.0,1705.0,True,Yes,790.0,44.0,37.0,776.6393831925693,UsernameChangeHistory
219.0,174.0,5.0,95.0,14.0,18.0,7.0,2169.0,1322.0,76.0,786.0,459.0,407.0,True,Yes,888.0,67.0,39.0,1139.176353781428,UsernameModificationLog
52.0,31.0,25.0,38.0,18.0,143.0,4.0,477.0,264.0,200.0,222.0,312.0,297.0,False,Yes,391.0,0.0,28.0,841.8838399736387,UsernameModificationLog
386.0,254.0,40.0,164.0,96.0,269.0,6.0,1228.0,716.0,147.0,400.0,449.0,388.0,False,Yes,284.0,265.0,39.0,525.2935978755382,UsernameModificationLog
83.0,62.0,9.0,28.0,29.0,49.0,18.0,8284.0,4229.0,252.0,2077.0,1444.0,1226.0,True,Yes,255.0,44.0,32.0,750.3280227638819,UsernameChangeHistory
308.0,210.0,41.0,167.0,80.0,192.0,10.0,5166.0,2477.0,282.0,1796.0,1131.0,988.0,True,Yes,1308.0,135.0,40.0,1919.132374729783,UsernameChangeHistory
376.0,279.0,42.0,177.0,59.0,261.0,8.0,2044.0,1266.0,179.0,706.0,535.0,573.0,True,No,486.0,151.0,39.0,907.8137937443645,UsernameChangeHistory
261.0,116.0,24.0,104.0,41.0,179.0,2.0,601.0,221.0,27.0,152.0,88.0,94.0,True,No,481.0,105.0,40.0,864.5873063252462,UsernameChangeHistory
