ArticleCount,WordCount,ImageCount,VideoCount,CommentCount,ShareCount,JournalistYears,TotalArticles,TotalWords,TotalImages,TotalVideos,TotalComments,TotalShares,Language,Region,Citations,References,Corrections,ImpactFactor,MediaChannel
215.0,142.0,6.0,39.0,19.0,133.0,24.0,4660.0,2211.0,71.0,207.0,536.0,1575.0,English,Europe,51.0,121.0,15.0,225.6288213907747,Television
189.0,129.0,8.0,61.0,23.0,61.0,24.0,6421.0,2999.0,93.0,401.0,734.0,2203.0,English,North America,41.0,100.0,3.0,188.48004666530036,Television
180.0,102.0,8.0,25.0,37.0,74.0,13.0,2126.0,878.0,44.0,77.0,345.0,736.0,English,Europe,759.0,99.0,0.0,478.7033369244481,Television
20.0,6.0,1.0,8.0,2.0,24.0,14.0,2143.0,812.0,30.0,74.0,279.0,709.0,English,Europe,254.0,112.0,7.0,63.683520639908224,Television
165.0,140.0,7.0,39.0,20.0,81.0,13.0,3309.0,1634.0,33.0,153.0,325.0,800.0,Spanish,North America,424.0,106.0,0.0,456.160237094407,Newspaper
487.0,282.0,2.0,80.0,21.0,147.0,27.0,7726.0,4222.0,43.0,421.0,612.0,2603.0,Spanish,Europe,753.0,118.0,13.0,456.8601623840864,Newspaper
166.0,139.0,7.0,68.0,26.0,41.0,7.0,960.0,391.0,33.0,57.0,144.0,489.0,English,North America,291.0,95.0,5.0,128.2228886324063,Television
20.0,29.0,2.0,14.0,4.0,82.0,4.0,1572.0,632.0,38.0,105.0,208.0,940.0,Spanish,North America,667.0,104.0,7.0,193.86233671698355,Newspaper
308.0,212.0,6.0,55.0,37.0,149.0,13.0,2632.0,1457.0,41.0,117.0,406.0,997.0,Spanish,Europe,739.0,101.0,2.0,710.3716450297351,Newspaper
236.0,179.0,4.0,71.0,27.0,60.0,11.0,3513.0,1927.0,48.0,215.0,388.0,1299.0,English,North America,125.0,117.0,4.0,256.47708085425705,Television
50.0,59.0,1.0,3.0,3.0,4.0,14.0,1386.0,617.0,2.0,29.0,104.0,222.0,Spanish,Europe,294.0,103.0,3.0,59.615141263210944,Newspaper
299.0,190.0,10.0,47.0,34.0,105.0,14.0,2672.0,1162.0,68.0,133.0,423.0,1441.0,English,Europe,422.0,123.0,13.0,396.04646488504306,Television
357.0,189.0,3.0,39.0,21.0,74.0,12.0,3726.0,1675.0,55.0,179.0,434.0,966.0,English,Europe,257.0,126.0,8.0,207.8179733374403,Television
36.0,22.0,0.0,7.0,0.0,81.0,15.0,2202.0,1011.0,22.0,96.0,243.0,933.0,Spanish,North America,800.0,109.0,8.0,513.3449617936557,Newspaper
207.0,193.0,1.0,55.0,15.0,95.0,24.0,6289.0,3622.0,58.0,400.0,671.0,2445.0,English,North America,763.0,101.0,1.0,579.9470024376809,Television
447.0,267.0,10.0,97.0,43.0,108.0,7.0,1079.0,546.0,6.0,49.0,70.0,87.0,Spanish,North America,854.0,113.0,16.0,241.92056894305497,Television
385.0,255.0,4.0,76.0,39.0,58.0,6.0,2809.0,1623.0,35.0,119.0,416.0,575.0,Spanish,North America,681.0,118.0,7.0,552.0958811198365,Newspaper
44.0,30.0,0.0,14.0,0.0,22.0,2.0,78.0,48.0,2.0,9.0,14.0,159.0,Spanish,Europe,730.0,110.0,3.0,306.8350463749815,Newspaper
58.0,56.0,2.0,25.0,15.0,32.0,13.0,1730.0,763.0,22.0,92.0,179.0,640.0,Spanish,North America,156.0,104.0,5.0,174.40643152848142,Newspaper
99.0,101.0,3.0,23.0,18.0,18.0,11.0,3324.0,1823.0,38.0,148.0,455.0,807.0,English,Europe,869.0,117.0,6.0,757.2440344696462,Television
472.0,299.0,10.0,96.0,49.0,170.0,22.0,7320.0,4169.0,90.0,443.0,911.0,2565.0,English,Europe,800.0,96.0,6.0,725.1943663424653,Television
327.0,177.0,8.0,73.0,25.0,46.0,22.0,4022.0,1899.0,31.0,193.0,294.0,1161.0,English,Europe,616.0,110.0,5.0,334.26363388981866,Television
69.0,59.0,4.0,33.0,9.0,90.0,11.0,1316.0,518.0,47.0,73.0,182.0,1043.0,English,North America,199.0,85.0,0.0,89.80394404039808,Television
201.0,115.0,6.0,53.0,27.0,174.0,9.0,2472.0,1521.0,36.0,167.0,306.0,980.0,English,North America,519.0,112.0,8.0,201.3580689985959,Television
11.0,14.0,0.0,2.0,0.0,56.0,5.0,754.0,335.0,3.0,28.0,78.0,371.0,Spanish,North America,60.0,128.0,5.0,232.16056617234722,Television
51.0,52.0,0.0,7.0,1.0,64.0,24.0,4275.0,1900.0,38.0,174.0,423.0,1662.0,Spanish,North America,67.0,107.0,1.0,226.23876524474815,Newspaper
223.0,131.0,7.0,31.0,29.0,21.0,11.0,3351.0,1715.0,32.0,140.0,384.0,822.0,English,North America,392.0,131.0,12.0,208.63842089526284,Television
347.0,214.0,3.0,67.0,33.0,159.0,28.0,9728.0,4987.0,73.0,474.0,948.0,2515.0,Spanish,Europe,700.0,114.0,5.0,923.5796026571253,Newspaper
