FlightsPerYear,HotelNights,InternationalTrips,DomesticTrips,TravelPackagesPurchased,MuseumVisits,YearsTraveling,LifetimeFlights,LifetimeHotelNights,LifetimeInternationalTrips,LifetimeDomesticTrips,LifetimeTravelPackagesPurchased,LifetimeMuseumVisits,PreferredAirlineStatus,FrequentFlyer,BaggageHandled,TravelAgencyInteractions,TravelRelatedComplaints,AnnualTravelBudget,NewTravelerProgram
24.0,89.0,1.0,8.0,8.0,2.0,11.0,66.0,41.0,19.0,21.0,19.0,5.0,Gold,Miles & More,346.0,44.0,4.0,3418.800608066566,Global Explorer Initiative
13.0,34.0,3.0,5.0,6.0,8.0,9.0,184.0,80.0,38.0,62.0,40.0,50.0,Platinum,Miles & More,128.0,47.0,0.0,2717.426319807665,Adventure Start
63.0,176.0,4.0,20.0,22.0,5.0,13.0,265.0,125.0,60.0,96.0,71.0,40.0,Platinum,Miles & More,193.0,30.0,7.0,1581.015580644546,Adventure Start
57.0,140.0,1.0,12.0,9.0,4.0,17.0,277.0,125.0,23.0,88.0,47.0,49.0,Gold,AAdvantage,353.0,197.0,5.0,1224.5408268883366,Global Explorer Initiative
37.0,102.0,1.0,13.0,8.0,14.0,48.0,928.0,470.0,61.0,286.0,157.0,134.0,Platinum,AAdvantage,47.0,128.0,4.0,9159.980186862313,Adventure Start
8.0,40.0,2.0,10.0,4.0,4.0,5.0,41.0,33.0,2.0,14.0,4.0,12.0,Gold,AAdvantage,87.0,19.0,1.0,334.6438865945067,Global Explorer Initiative
37.0,145.0,7.0,28.0,23.0,14.0,34.0,561.0,304.0,73.0,217.0,121.0,97.0,Platinum,AAdvantage,23.0,72.0,5.0,4964.45202977438,Adventure Start
20.0,42.0,0.0,10.0,0.0,6.0,1.0,35.0,19.0,2.0,16.0,3.0,14.0,Platinum,Miles & More,53.0,194.0,10.0,189.5820105790802,Adventure Start
25.0,68.0,6.0,17.0,11.0,17.0,10.0,79.0,50.0,54.0,36.0,48.0,26.0,Platinum,AAdvantage,389.0,22.0,0.0,3490.513125631021,Adventure Start
53.0,146.0,3.0,33.0,7.0,7.0,7.0,58.0,34.0,3.0,17.0,3.0,5.0,Platinum,AAdvantage,232.0,134.0,3.0,2464.089138462441,Adventure Start
76.0,276.0,7.0,45.0,26.0,12.0,8.0,382.0,199.0,71.0,158.0,110.0,61.0,Platinum,Miles & More,473.0,107.0,2.0,3899.9543276500485,Adventure Start
26.0,60.0,3.0,8.0,5.0,3.0,3.0,13.0,9.0,1.0,3.0,1.0,3.0,Gold,AAdvantage,156.0,97.0,8.0,199.0364103947144,Global Explorer Initiative
2.0,2.0,0.0,1.0,0.0,0.0,29.0,331.0,148.0,14.0,85.0,47.0,53.0,Gold,Miles & More,115.0,69.0,0.0,1068.6813802752745,Global Explorer Initiative
29.0,80.0,7.0,14.0,13.0,10.0,3.0,105.0,66.0,22.0,35.0,32.0,16.0,Gold,AAdvantage,89.0,75.0,3.0,2059.5336076022922,Adventure Start
88.0,231.0,3.0,30.0,24.0,9.0,3.0,144.0,65.0,40.0,60.0,38.0,28.0,Platinum,Miles & More,64.0,197.0,10.0,398.6650638832096,Adventure Start
5.0,36.0,1.0,2.0,5.0,1.0,6.0,43.0,35.0,2.0,11.0,9.0,5.0,Gold,AAdvantage,292.0,11.0,0.0,2473.84186446762,Adventure Start
